8 // Number of waterlines
23 // Number of stations
1 // Read deckline
1 // Read contour
1 // Read aft contour
1 // Read forward contour
0 // Read flat of bottom
23,333 // Length
5,964 // Beam
3,500 // Draft
         0,500    1,000    1,500    2,000    2,500    3,000    3,500    4,000   
         0,541    1,074    1,209    1,219    1,129    0,965    0,222    -0,832  
-1,0635  0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   5,181    1,802    4,127   
0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   1,1299   5,119    2,274    3,595   
1,0635   0,0726   0,0000   0,0000   0,0000   0,0000   0,1980   0,9080   1,7886   5,059    2,471    0,240   
2,1270   0,0435   0,1059   0,1778   0,2881   0,5235   0,9697   1,6571   2,2108   5,000    2,569    0,316   
3,1905   0,0316   0,1414   0,2911   0,5515   0,9546   1,4978   2,0975   2,4345   4,941    2,642    0,387   
4,2540   0,0293   0,2076   0,4686   0,8543   1,3637   1,9058   2,3531   2,5544   4,884    2,703    0,455   
5,3175   0,0000   0,2863   0,7322   1,2245   1,7561   2,2316   2,5332   2,6481   4,833    2,755    0,522   
6,3810   0,0000   0,3370   0,9977   1,6085   2,1135   2,4831   2,6705   2,7319   4,795    2,799    0,590   
7,4444   0,0000   0,3376   1,1886   1,9032   2,3755   2,6553   2,7713   2,8033   4,777    2,838    0,660   
8,5079   0,0000   0,2818   1,3122   2,0953   2,5379   2,7595   2,8430   2,8613   4,780    2,873    0,731   
9,5714   0,0000   0,1616   1,3818   2,2193   2,6425   2,8267   2,8927   2,9060   4,798    2,905    0,798   
10,6349  0,0000   0,0293   1,3925   2,2957   2,7103   2,8735   2,9269   2,9377   4,829    2,930    0,862   
11,6984  0,0000   0,0293   1,3348   2,3353   2,7442   2,8995   2,9465   2,9569   4,868    2,945    0,924   
12,7619  0,0000   0,0293   1,2038   2,3377   2,7468   2,9024   2,9502   2,9624   4,918    2,948    0,986   
13,8254  0,0000   0,0000   1,0049   2,2867   2,7226   2,8784   2,9342   2,9513   4,984    2,943    1,050   
14,8889  0,0000   0,0000   0,7629   2,1578   2,6666   2,8214   2,8896   2,9171   5,069    2,929    1,117   
15,9524  0,0000   0,0000   0,5141   1,9440   2,5538   2,7181   2,8005   2,8469   5,175    2,900    1,185   
17,0159  0,0000   0,0000   0,2785   1,6729   2,3577   2,5504   2,6497   2,7210   5,302    2,838    1,256   
18,0794  0,0000   0,0000   0,0606   1,3666   2,0663   2,2954   2,4153   2,5097   5,439    2,702    1,327   
19,1429  0,0000   0,0000   0,0293   1,0294   1,6797   1,9308   2,0681   2,1787   5,581    2,441    1,397   
20,2063  0,0000   0,0000   0,0293   0,6472   1,1875   1,4288   1,5678   1,6798   5,742    1,979    1,476   
21,2698  0,0000   0,0000   0,0000   0,1600   0,5551   0,7551   0,8787   0,9796   5,933    1,275    1,649   
22,3333  0,0000   0,0000   0,0000   0,0000   0,0000   0,0293   0,0671   0,1492   6,144    0,411    2,671   
         4,970    12,991   20,458   21,849   22,255   22,438   22,534   22,612  
